Unicode	Char	Language	Pinyin
U+3400	㐀	kMandarin	{'qiū': 1}
U+3401	㐁	kHanyuPinyin	{'tiàn': 1}
U+3404	㐄	kMandarin	{'kuà': 1}
U+3405	㐅	kMandarin	{'wǔ': 1}
U+3406	㐆	kHanyuPinyin	{'yǐn': 1}
U+340C	㐌	kHanyuPinyin	{'yí': 1}
U+3416	㐖	kHanyuPinyin	{'xié': 1}
U+341C	㐜	kMandarin	{'chóu': 1}
U+3421	㐡	kMandarin	{'nuò': 1}
U+3424	㐤	kHanyuPinyin	{'dān': 1, 'qiú': 1}
U+3428	㐨	kHanyuPinyin	{'xù': 1}
U+3429	㐩	kHanyuPinyin	{'xíng': 1}
U+342B	㐫	kMandarin	{'xiōng': 1}
U+342C	㐬	kMandarin	{'liú': 1}
U+342D	㐭	kMandarin	{'lǐn': 1}
U+342E	㐮	kMandarin	{'xiāng': 1}
U+342F	㐯	kMandarin	{'yōng': 1}
U+3430	㐰	kMandarin	{'xìn': 1}
U+3431	㐱	kMandarin	{'zhěn': 1}
U+3432	㐲	kHanyuPinyin	{'dài': 1}
U+3433	㐳	kHanyuPinyin	{'wù': 1}
U+3434	㐴	kMandarin	{'pān': 1}
U+3435	㐵	kMandarin	{'rú': 1}
U+3437	㐷	kMandarin	{'mǎ': 1}
U+3438	㐸	kHanyuPinyin	{'qiàn': 1, 'cì': 1}
U+3439	㐹	kMandarin	{'yì': 1}
U+343A	㐺	kHanyuPinyin	{'yín': 1, 'zhòng': 1}
U+343B	㐻	kHanyuPinyin	{'nèi': 1}
U+343C	㐼	kMandarin	{'chèng': 1}
U+343D	㐽	kMandarin	{'fēng': 1}
U+3441	㑁	kMandarin	{'zhuō': 1}
U+3442	㑂	kMandarin	{'fǎng': 1}
U+3443	㑃	kMandarin	{'ǎo': 1}
U+3444	㑄	kMandarin	{'wǔ': 1}
U+3445	㑅	kMandarin	{'zuò': 1}
U+3447	㑇	kMandarin	{'zhòu': 1}
U+3448	㑈	kMandarin	{'dòng': 1}
U+3449	㑉	kHanyuPinyin	{'sù': 1}
U+344A	㑊	kHanyuPinyin	{'yì': 1}
U+344B	㑋	kHanyuPinyin	{'qióng': 1}
U+344C	㑌	kHanyuPinyin	{'wāng': 1, 'kuāng': 1}
U+344D	㑍	kHanyuPinyin	{'lèi': 1}
U+344E	㑎	kHanyuPinyin	{'nǎo': 1}
U+344F	㑏	kMandarin	{'zhù': 1}
U+3450	㑐	kHanyuPinyin	{'shū': 1}
U+3454	㑔	kMandarin	{'xǔ': 1}
U+3457	㑗	kHanyuPinyin	{'shēn': 1}
U+3458	㑘	kMandarin	{'jiè': 1}
U+3459	㑙	kHanyuPinyin	{'dié': 1}
U+345A	㑚	kHanyuPinyin	{'nuó': 1}
U+345B	㑛	kHanyuPinyin	{'sù': 1}
U+345C	㑜	kHanyuPinyin	{'yì': 1, 'chì': 1}
U+345D	㑝	kMandarin	{'lòng': 1}
U+345E	㑞	kHanyuPinyin	{'yìng': 1}
U+345F	㑟	kHanyuPinyin	{'běng': 1}
U+3463	㑣	kHanyuPinyin	{'lán': 1}
U+3464	㑤	kMandarin	{'miáo': 1}
U+3465	㑥	kHanyuPinyin	{'yì': 1}
U+3466	㑦	kHanyuPinyin	{'lì': 1}
U+3467	㑧	kMandarin	{'jì': 1}
U+3468	㑨	kMandarin	{'yǔ': 1}
U+3469	㑩	kMandarin	{'luó': 1}
U+346A	㑪	kMandarin	{'chái': 1}
U+346E	㑮	kHanyuPinyin	{'hún': 1}
U+346F	㑯	kHanyuPinyin	{'xǔ': 1}
U+3470	㑰	kMandarin	{'huì': 1}
U+3471	㑱	kMandarin	{'rǎo': 1}
U+3473	㑳	kHanyuPinyin	{'zhòu': 1, 'zhū': 1}
U+3475	㑵	kMandarin	{'hàn': 1}
U+3476	㑶	kHanyuPinyin	{'xì': 1}
U+3477	㑷	kMandarin	{'tài': 1}
U+3478	㑸	kHanyuPinyin	{'yáo': 1}
U+3479	㑹	kMandarin	{'huì': 1}
U+347A	㑺	kMandarin	{'jùn': 1}
U+347B	㑻	kHanyuPinyin	{'mà': 1}
U+347C	㑼	kHanyuPinyin	{'lüè': 1}
U+347D	㑽	kMandarin	{'táng': 1}
U+347E	㑾	kHanyuPinyin	{'yáo': 1}
U+347F	㑿	kHanyuPinyin	{'zhào': 1}
U+3480	㒀	kHanyuPinyin	{'zhāi': 1, 'zhǎ': 1}
U+3481	㒁	kHanyuPinyin	{'yǔ': 1}
U+3482	㒂	kHanyuPinyin	{'zhuó': 1}
U+3483	㒃	kMandarin	{'èr': 1}
U+3484	㒄	kHanyuPinyin	{'rǎn': 1}
U+3485	㒅	kHanyuPinyin	{'qǐ': 1}
U+3486	㒆	kMandarin	{'chì': 1}
U+3487	㒇	kHanyuPinyin	{'wǔ': 1}
U+3488	㒈	kHanyuPinyin	{'hàn': 1}
U+3489	㒉	kMandarin	{'tǎng': 1}
U+348A	㒊	kHanyuPinyin	{'sè': 1}
U+348B	㒋	kMandarin	{'sī': 1}
U+348C	㒌	kMandarin	{'qióng': 1}
U+348D	㒍	kHanyuPinyin	{'léi': 1}
U+348E	㒎	kHanyuPinyin	{'sà': 1}
U+3491	㒑	kHanyuPinyin	{'kuǐ': 1, 'huì': 1}
U+3492	㒒	kMandarin	{'pú': 1}
U+3493	㒓	kHanyuPinyin	{'tà': 1}
U+3494	㒔	kHanyuPinyin	{'shú': 1, 'dú': 1, 'tù': 1}
U+3495	㒕	kHanyuPinyin	{'yāng': 1}
U+3496	㒖	kMandarin	{'ǒu': 1}
U+3497	㒗	kMandarin	{'tái': 1}
U+3499	㒙	kHanyuPinyin	{'mián': 1}
U+349A	㒚	kHanyuPinyin	{'yìn': 1, 'wěn': 1}
U+349B	㒛	kHanyuPinyin	{'diào': 1}
U+349C	㒜	kHanyuPinyin	{'yǔ': 1}
U+349D	㒝	kHanyuPinyin	{'miè': 1, 'wà': 1}
U+349E	㒞	kMandarin	{'jùn': 1}
U+349F	㒟	kHanyuPinyin	{'niǎo': 1}
U+34A0	㒠	kHanyuPinyin	{'xiè': 1}
U+34A1	㒡	kHanyuPinyin	{'yóu': 1}
U+34A4	㒤	kHanyuPinyin	{'chè': 1}
U+34A5	㒥	kHanyuPinyin	{'fēng': 1}
U+34A6	㒦	kHanyuPinyin	{'lěi': 1, 'lèi': 1}
U+34A7	㒧	kMandarin	{'lì': 1}
U+34A9	㒩	kMandarin	{'luǒ': 1}
U+34AB	㒫	kMandarin	{'jì': 1}
U+34B0	㒰	kMandarin	{'quán': 1}
U+34B2	㒲	kMandarin	{'cái': 1}
U+34B3	㒳	kMandarin	{'liǎng': 1}
